1493844719.002483,-0.911621,-2.294922,-0.439453,19.470215,12.268066,23.437500
1493844719.005086,-0.914062,-2.188477,-0.414062,2.319336,15.014648,-6.958008
1493844719.007629,-0.959961,-2.085449,-0.387695,12.207031,17.822266,-36.315918
1493844719.010221,-0.953613,-1.981934,-0.318359,7.019043,19.653320,-64.147949
1493844719.012811,-1.003906,-1.869141,-0.408203,-2.563477,21.484375,-89.599609
1493844719.015358,-1.101562,-1.741699,-0.308105,-10.742188,20.874023,-111.999512
1493844719.017908,-1.084961,-1.670898,-0.202637,-18.249512,19.714355,-138.244629
1493844719.020457,-1.104980,-1.576660,-0.160156,-29.479980,17.089844,-142.272949
1493844719.023015,-1.242188,-1.502930,-0.062012,-42.297363,15.686035,-159.729004
1493844719.025567,-1.125000,-1.448242,-0.050781,-47.363281,14.282227,-176.086426
1493844719.028114,-1.107422,-1.448242,-0.053711,-58.776855,13.610840,-190.856934
1493844719.030663,-1.124512,-1.461914,-0.044434,-71.411133,13.183594,-206.115723
1493844719.033215,-1.290039,-1.251953,-0.569824,-77.514648,18.432617,-222.167969
1493844719.035766,-1.388672,-0.660645,0.063477,-75.988770,29.968262,-232.055664
1493844719.038320,-1.366699,-0.284180,0.437500,-88.562012,23.071289,-231.689453
1493844719.040868,-1.254883,0.124512,0.742188,-82.824707,-2.929688,-225.646973
1493844719.043418,-1.185547,0.574219,0.161621,-77.575684,-17.150879,-227.355957
1493844719.045970,-1.150879,1.410645,-0.005859,-108.581543,9.826660,-233.825684
1493844719.048523,-1.160156,2.470703,0.346680,-106.933594,14.953613,-222.534180
1493844719.051148,-1.364258,3.229004,0.960449,-115.844727,0.122070,-192.016602
1493844719.053833,-1.609863,3.439453,1.149902,-85.327148,-15.136719,-165.161133
1493844719.056524,-1.364746,2.777832,0.969727,-53.283691,-16.357422,-160.644531
1493844719.059230,-1.045898,2.015137,0.874512,-75.134277,-5.432129,-172.058105
1493844719.061932,-0.912598,1.433105,0.339844,-134.094238,13.061523,-189.086914
1493844719.064618,-1.058594,0.681152,0.185547,-185.302734,23.864746,-204.650879
1493844719.067305,-1.365723,-0.130859,0.000488,-218.994141,42.968750,-221.984863
1493844719.069983,-1.566406,-1.178711,0.043945,-242.309570,54.382324,-240.051270
1493844719.072591,-1.843262,-1.625977,0.136719,-253.479004,54.809570,-258.300781
1493844719.075147,-2.004883,-2.028320,0.084473,-266.113281,55.480957,-265.686035
1493844719.077703,-1.989746,-2.222656,-0.050293,-251.342773,47.180176,-273.132324
1493844719.080261,-1.835938,-2.112793,-0.147949,-228.515625,49.987793,-271.911621
1493844719.082818,-1.657715,-1.906250,-0.274902,-198.242188,53.161621,-263.793945
1493844719.085372,-1.439453,-1.723633,-0.339844,-164.672852,55.969238,-256.408691
1493844719.087929,-1.271484,-1.292480,-0.554688,-121.887207,57.189941,-254.089355
1493844719.090554,-1.076172,-0.875488,-0.617188,-89.904785,77.453613,-255.432129
1493844719.093251,-1.012695,-0.459961,-0.470215,-69.030762,64.697266,-255.371094
1493844719.095940,-0.925781,-0.101074,-0.347656,-54.382324,63.964844,-251.037598
1493844719.098637,-0.791992,0.054688,-0.241211,-40.954590,57.983398,-242.126465
1493844719.101330,-0.519043,0.114746,-0.290527,-29.113770,51.391602,-229.675293
1493844719.104013,-0.341309,0.118652,-0.302246,-25.024414,42.297363,-217.468262
1493844719.106702,-0.171387,-0.115234,-0.439941,-26.550293,36.987305,-204.772949
1493844719.109415,-0.024414,-0.173340,-0.511719,-35.034180,39.428711,-194.580078
1493844719.112129,0.015625,-0.276367,-0.617676,-38.818359,38.269043,-185.852051
1493844719.114817,-0.097656,-0.403320,-0.568359,-42.846680,41.992188,-180.114746
1493844719.117504,-0.329590,-0.552246,-0.535645,-41.076660,47.058105,-175.048828
1493844719.120213,-0.520996,-0.600098,-0.460938,-35.278320,47.302246,-171.325684
1493844719.122925,-0.728027,-0.685547,-0.615234,-28.137207,43.945312,-169.921875
1493844719.125616,-1.087402,-0.754883,-0.411621,-19.042969,38.940430,-166.625977
